央视频道,#genre#
CCTV1,http://tvpull.dxhmt.cn/tv/11481-4.m3u8
CCTV1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV1,http://183.237.231.139:9901/tsfile/live/1001_1.m3u8
CCTV1,http://222.134.240.136:9901/tsfile/live/0001_1.m3u8
CCTV1,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv17hd8m/8000000/mnf.m3u8
CCTV2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2,http://222.134.240.136:9901/tsfile/live/0002_1.m3u8
CCTV2,http://183.237.231.139:9901/tsfile/live/1002_1.m3u8
CCTV3,http://183.237.231.139:9901/tsfile/live/1003_1.m3u8
CCTV3,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV4,http://183.237.231.139:9901/tsfile/live/1004_1.m3u8
CCTV4,http://222.134.240.136:9901/tsfile/live/0004_1.m3u8
CCTV4,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV5+,http://183.237.231.139:9901/tse/1016_1.m3u8
CCTV5,http://183.237.231.139:9901/tsfile/live/1005_1.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5+,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5,http://222.134.240.136:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://222.134.240.136:9901/tsfile/live/0016_1.m3u8
CCTV5,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV6,http://183.237.231.139:9901/tsfile/live/1006_1.m3u8
